CAS-RN,NAME,STATUS_TEXT,STATUS_BIN,SMILES,k OH (AOPv1.92) atmospheric,t1/2 atmosphere in hours,"VP (mm Hg, MPVPBP v1.43)","VP (Pa, MPBPVPwin))",BIOWIN1,BIOWIN2,BIOWIN3,t1/2(water)hrs,t1/2(soil)hrs,BIOWIN4,BIOWIN5,BIOWIN6,log Kow (KowWin v1.67),log Koa (KoaWin v1.10),log Kaw (=Kow/Koa,BCF (BCFBAF v3.00),BCFmax,"kM halflife (days, BCFBAF v3.00)",kM,BCF(metabolism),TMF air,TMF pelagic,BAF air,LRTP-Pov,LRTP-CTD,LRTP-TE,MW,P-score,B-score
000095-53-4," Benzenamine, 2-methyl-",not P,0,Nc1c(C)cccc1,1.32E-10,2.91E+00,3.56E-01,4.73E+01,.5175,0.5392,2.7526,6.00E+02,1.20E+03,3.5162,0.31,0.2677,1.62,5.412,-4.092,3.451,1.45E+01,0.108034162,6.42,10.5547,2.1,5.6,22.2,50.42398806,2478.686233,6.59551056,107.16,0.1031,0.0169
000096-09-3," Oxirane, phenyl-",not P,0,O1C(c2ccccc2)C1,5.06E-12,7.61E+01,4.85E-01,6.45E+01,.4711,0.4188,2.947,4.11E+02,8.22E+02,3.6695,0.4072,0.5124,1.59,4.8,-3.19,5.361,1.39E+01,0.036366589,19.06,6.7226,-1.1,4.6,6.7,43.25470384,6722.736807,30.36379121,120.15,0.0814,0.0070
000096-23-1," 2-Propanol, 1,3-dichloro-",not P,0,ClCC(O)CCl,1.89E-12,2.03E+02,3.07E-01,4.08E+01,.6221,0.1961,2.7277,6.30E+02,1.26E+03,3.5899,0.5399,0.329,0.78,5.058,-4.278,3.162,4.91E+00,0.077689664,8.92,4.1741,0.3,5.1,4.2,50.34359732,3923.652556,17.45871999,128.99,0.1029,0.0049
000096-48-0," 2(3H)-Furanone, dihydro-",not P,0,O1C(=O)CCC1,2.31E-12,1.67E+02,2.96E-01,3.93E+01,.8807,0.9972,3.1491,2.77E+02,5.54E+02,3.9525,0.8589,0.9607,-0.31,5.027,-5.667,3.162,2.05E+00,0.005545177,125.00,1.0100,0.1,5.0,1.0,24.81155633,1298.070216,5.747158756,86.09,0.0333,0.0017
000096-49-1," 1,3-Dioxolan-2-one",not P,0,O1C(=O)OCC1,2.35E-12,1.64E+02,2.18E-02,2.91E+00,.7056,0.853,3.0046,3.67E+02,7.34E+02,3.7207,0.4896,0.6122,-0.34,1.611,-1.951,3.162,2.02E+00,0.021158339,32.76,1.5928,-27.2,-10.8,1.6,159.0677508,46723.47158,197.6742563,88.06,0.4477,0.0024
000096-54-8," 1H-Pyrrole, 1-methyl-",not P,0,N1(C)C=CC=C1,1.10E-10,3.50E+00,1.95E+01,2.60E+03,.7089,0.8649,3.0199,3.56E+02,7.13E+02,3.7307,0.5041,0.6646,1.43,3.311,-2.101,2.92,1.10E+01,0.865784637,0.80,10.5936,-11.4,-0.5,10.6,23.89691168,6146.570831,4.666983981,81.12,0.0313,0.0098
000098-00-0, 2-Furanmethanol,not P,0,O1C(CO)=CC=C1,1.04E-10,3.70E+00,4.10E-01,5.45E+01,.8596,0.939,3.1423,2.81E+02,5.61E+02,3.8356,0.5504,0.7178,0.45,5.773,-5.493,3.162,3.56E+00,0.021948929,31.58,2.4503,3.8,5.9,9.2,25.22462849,1378.826874,5.031172637,98.1,0.0342,0.0088
000098-01-1, 2-Furancarboxaldehyde,not P,0,O1C(C=O)=CC=C1,3.74E-11,1.03E+01,2.33E+00,3.09E+02,.9864,0.9999,3.0092,3.64E+02,7.28E+02,3.9057,0.8623,0.9456,0.83,4.222,-3.812,3.162,5.18E+00,0.107414719,6.45,4.5662,-4.7,3.1,4.6,31.63262216,3791.43363,14.08008267,96.09,0.0495,0.0052
000098-07-7," Benzene, (trichloromethyl)-",not P,0,ClC(Cl)(Cl)c1ccccc1,3.57E-13,1.08E+03,1.25E-01,1.67E+01,.2645,0.0052,2.0575,2.33E+03,4.66E+03,3.1153,0.2426,0.0174,3.9,5.873,-1.973,172.8,1.39E+03,1.753471238,0.40,433.7571,4.2,6.0,1811.6,385.5290192,80702.83456,618.1488326,195.48,0.7850,0.3183
000098-51-1," Benzene, 1-(1,1-dimethylethyl)-4-methyl-",not P,0,CC(C)(C)c1ccc(C)cc1,6.74E-12,5.71E+01,5.93E-01,7.89E+01,.5477,0.4397,2.5846,8.33E+02,1.67E+03,3.4119,0.4143,0.3754,4.45,5.371,-0.201,1197,4.49E+03,6.876460125,0.10,1593.4126,1.9,5.6,3028.6,332.546744,105294.2899,25.68175316,148.25,0.7395,0.4071
000098-55-5," 3-Cyclohexene-1-methanol, .alpha.,.alpha.,4-trimethyl-",not P,0,C1(C)=CCC(C(O)(C)C)CC1,1.03E-10,3.74E+00,1.96E-02,2.61E+00,.4902,0.288,2.6462,7.39E+02,1.48E+03,3.4717,0.3999,0.297,3.33,6.582,-3.302,67.79,3.93E+02,0.817583369,0.85,168.0037,6.7,5.9,1133.0,84.46908995,3565.674843,9.402782391,154.25,0.2165,0.2472
000098-66-8," Benzenesulfonic acid, 4-chloro-",not P,0,S(=O)(=O)(O)c1ccc(Cl)cc1,4.33E-13,8.89E+02,4.29E-06,5.71E-04,.2497,0.059,2.7091,6.54E+02,1.31E+03,3.4261,0.2003,0.1095,-0.52,6.599,-7.119,3.162,1.83E+00,0.070700447,9.80,1.7095,6.8,5.9,11.6,50.73772732,67.81835886,0.295086162,192.62,0.1041,0.0105
000098-67-9," Benzenesulfonic acid, 4-hydroxy-",not P,0,S(=O)(=O)(O)c1ccc(O)cc1,7.41E-12,5.20E+01,3.34E-07,4.44E-05,.5567,0.6025,3.0129,3.61E+02,7.23E+02,3.6578,0.3132,0.2983,-1.65,9.32,-10.97,3.162,1.25E+00,0.005545177,125.00,0.7679,9.6,-2.3,7.3,30.94805503,37.50977039,4.30043E-05,174.17,0.0477,0.0074
