,0
1510,9100
1511,7682
1512,10698
1513,6467
1514,3964
1515,5390
1516,1227
1517,3434
1518,9450
1519,10113
1520,10009
1521,7565
1522,3355
1523,2281
1524,6786
1525,3858
1526,5427
1527,716
1528,6952
1529,5793
1530,6426
1531,7742
1532,9827
1533,3666
1534,584
1535,9659
1536,1580
1537,5951
1538,1973
1539,10614
1540,10516
1541,418
1542,9409
1543,2355
1544,6846
1545,3679
1546,8178
1547,2209
1548,3414
1549,7230
1550,9309
1551,6579
1552,8931
1553,3288
1554,4803
1555,1857
1556,10423
1557,364
1558,3941
1559,2542
1560,4811
1561,5144
1562,6906
1563,8696
1564,5876
1565,7935
1566,1327
1567,7938
1568,907
1569,7949
1570,7781
1571,229
1572,1425
1573,8950
1574,4606
1575,898
1576,5274
1577,1390
1578,2679
1579,8495
1580,1085
1581,3412
1582,2305
1583,896
1584,9186
1585,466
1586,10208
1587,4440
1588,3653
1589,3808
1590,9063
1591,8191
1592,6165
1593,3303
1594,3534
1595,938
1596,10444
1597,9274
1598,1326
1599,6878
1600,8744
1601,7942
1602,795
1603,8901
1604,682
1605,231
1606,432
1607,4332
1608,1443
1609,5101
1610,9835
1611,9387
1612,4713
1613,8249
1614,764
1615,3345
1616,2346
1617,4981
1618,2512
1619,4286
1620,9705
1621,4026
1622,5893
1623,2149
1624,2438
1625,8889
1626,9150
1627,5529
1628,154
1629,3835
1630,7353
1631,8031
1632,9090
1633,4344
1634,10517
1635,4046
1636,7470
1637,714
1638,8777
1639,7316
1640,4336
1641,8255
1642,2568
1643,10243
1644,3189
1645,6550
1646,6256
1647,7260
1648,9788
1649,10206
1650,7967
1651,3170
1652,227
1653,8116
1654,6503
1655,7331
1656,1817
1657,3073
1658,7099
1659,31
1660,6374
1661,8099
1662,3252
1663,10308
1664,2734
1665,1096
1666,5555
1667,513
1668,8910
1669,5731
1670,1680
1671,1889
1672,3866
1673,9511
1674,3553
1675,2244
1676,7324
1677,5940
1678,3037
1679,2631
1680,3384
1681,7296
1682,9952
1683,3385
1684,351
1685,7644
1686,6062
1687,7563
1688,4132
1689,519
1690,6449
1691,10718
1692,696
1693,417
1694,9306
1695,4007
1696,987
1697,7060
1698,2893
1699,8789
1700,10789
1701,4102
1702,8156
1703,3225
1704,3997
1705,9582
1706,8504
1707,9712
1708,1165
1709,2433
1710,10669
1711,9433
1712,9458
1713,9509
1714,1069
1715,5532
1716,3015
